角色编号,台词编号,文本内容,立绘变化,语音编号
00,000,周末的独立书店浸在暖黄灯光里，空气中弥漫着油墨与浅淡的咖啡香,,
00,001,你轻车熟路地绕到了二楼最里面那个鲜少有人问津的角落，那是你上学时就习惯呆着的“老地方”,,
00,002,为了下周情感赛道的爆款选题，你已经熬了两个通宵，翻遍了当下的热门IP，总觉得少了点能戳中女性读者隐秘情绪内核的部分,,
00,003,你蹲在女频文学区的书架前，视线划过一排排书脊，脑子里突然冒出来大学时追得废寝忘食的系列文,,
00,004,——《一纸叙尽平生念》，作者叙闻，笔触细腻到能接住少女心事里最细碎的褶皱，连人物的一句台词都能让你记很多年,,
00,005,当年你和室友窝在宿舍床上讨论到凌晨，都笃定能写出这种文字的，一定是个三四十岁、有充足人生阅历、通透又温柔的女性,,
00,006,网上的读者也清一色默认作者是女性，甚至还有人扒出过所谓的“姐姐日常”,,
00,007,想到这里，不妨就从叙闻的旧作中探寻选题，拆解她的叙事逻辑,,
00,008,上学时你就经常光顾这家书店，深知叙闻的作品放在哪一角落,,
00,009,《她是第四面墙》、《棱镜回响》、《松风入怀》……经典作品太多，一时之间你挑花了眼,,
00,010,正纠结着，一本裹着素色封皮的旧书，不偏不倚地、刚好落在了你视线正前方的层板上,,
00,011,就像是有人预判了你的犹豫，特意为你做出的指引,,
00,012,你转头，毫无防备地撞进一双盛着柔光的桃花眼,,
00,013,对方似乎已经在那里站了很久，目光长久地停留在你身上，带着一种几乎要将人溺毙的专注,0000,
00,014,眼前的青年穿着米白色针织衫，袖口工整挽到小臂。见你望过来，他极其自然地收敛了眼底翻涌的情绪，换上一副温和无害的神情,0000,
00,015,他没有说话，指尖在书脊烫金的「叙闻」二字上轻轻点了一下，带着一点小心翼翼的试探，像怕惊扰了书架间的安宁,0000,
00,016,你熟知《一纸叙尽平生念》系列，并没见过这种封装方式的作品,,
00,017,翻动书页，映入眼帘的是扉页上钢笔写下清隽风致的“叙闻——温叙”,,
00,018,这无疑是作者亲签。纵使叙闻常年隐居幕后，却总能凭亲签典藏版引得热潮，而你也是热潮中的一员,,
00,019,但奇怪的是，虽像旧书，封皮边缘却没有一丝磨损，倒像是被人无数次摩挲过，又珍重地保存着，就等着在某一天送到某人手里,,
00,020,你惊疑地看着他，他微笑着指了指自己，又抬手做了个噤声的动作,0000,
00,021,眉眼间没有半分预设里成熟姐姐模样，完全打破了你维持了五六年的固有认知,0000,
00,022,温叙，温叙……他是叙闻,,
00,023,手无意识捏紧了书皮，指尖触感清晰，包边一丝不苟，像是很早就已准备妥当。一切发生得太过顺理成章，顺利得近乎诡异,,
00,024,真是千载难逢的机会，虽然不清楚他为什么出现在这，还向你透露真实身份,,
00,025,但如果能跟作者本人取得进一步沟通，还愁写不出爆款吗,,
00,026,紧急掏手机的空档，他却先一步把好友码轻轻推到你面前，没有任何话语，只抬眼看向你，眼尾弯起柔和的弧度,0000,
00,027,【抉择选项】爽快扫码，指尖在备注栏敲下自己的名字,,
00,028,申请通过得很快，温叙指尖飞快敲下了新备注，按理说初次加好友总要核对一下全名，但他打字的速度却像是早就烂熟于心,0000,
00,029,你余光刚瞥见两个模糊的字，屏幕就被他立刻按灭,0000,
06,030,“我还有事，先走了。”,0000,
00,031,他走得飞快，背影透着一丝隐秘的克制与慌乱。你看了看手中没来得及归还“绝版亲签”的书，心中有了新的计划,,
00,032,【抉择选项】心怀警惕，会不会太顺利了,,
00,033,你冲温叙摇了摇头,,
00,034,作为社会新闻出身的媒体人，这种天上掉馅饼般的“偶遇”只让你警铃大作,,
00,035,他眼底的光熄了一瞬，仿佛一个等待了许久的信徒突然被拒之门外，但他很快又掩饰了过去，顺从收起手机点头致意,,
06,036,“这本书是未公开的试读版，可以先借给你。如果后面需要联系我，尾页有联系方式。”,0000,
00,037,这份“未公开”的作品出现得太过恰逢其时，简直像极了一张为你量身定制、提前铺好的网,,
00,038,但这确实是你现在最需要的，而且他也给了你检验真伪和掌控主动权的时间,0000,
01,039,“谢谢。”,0000,
00,040,你合上书，转身离开,,
00,041,在你身后，那道如影随形的视线直到你走下楼梯，才慢慢收回,,
00,042,没过几天，你就看完了试读本,,
00,043,字里行间藏着熟悉的牵引，这确实是叙闻的写作风格，擅长用文字把那些女性所处的困境、难以排解的忧思逐一诉说,,
00,044,合上书，你的思绪还停留在尾页那行浅淡的数字，那是他专门为你留下的信号,,
00,045,作为新媒体人，这种“以微观情绪见宏大情感”的叙事，正是当下情感赛道最缺的切口,,
00,046,而那行提前预留的联系方式，却成了你犹豫再三的理由,,
00,047,——太周全了，从身份表明到添到试读本的借阅，每一步都像精心设计,,
00,048,他或许认识你，但你想了半天，也没想起来这么一号人,,
00,049,最终，对爆款选题的敏锐终究压过了警惕，毕竟破圈转型的机会不容错过,,
00,050,你斟酌着编辑些内容发过去，输入框里的文字删删改改,,
00,051,开门见山提访谈？怕显得急功近利，反而拉低好感；直接提还书？又怕临场拒绝访谈，断了这次靠近的由头,,
00,052,思虑再三，终究还是以“还书”为软借口，铺就了见面的台阶,,
00,053,半小时后，手机屏幕亮了起来，温叙的回复简短利落：“好”,,
00,054,你松了口气，访谈对象既定，是时候为这场深度对话做准备了,,
00,055,到了约定的日子，你走进咖啡馆时，温叙已经到了,0000,
00,056,刚坐下，一杯咖啡被推到你的眼前,,
06,057,“这是这家店的热款，不知是否合你的口味。”,0000,
00,058,兴许是他太过自然熟稔，又或者一路赶来确实口干舌燥，你一时也没有推脱，端起杯子抿了一口,,
00,059,恰到好处的温度和适口度，你颔首，对上他含笑的眸：,,
01,060,“谢谢，很好喝。”,0000,
00,061,几句寒暄过后，你没再绕弯子，干脆表明了自己的职业诉求，以及想对他进行简短访谈的意愿,,
06,062,“当然可以，我的荣幸。”,0000,
00,063,他答应的干脆，你顺势聊起了当下创作宣发的瓶颈,,
00,064,在这个流量内卷的时代，情感赛道要么千篇一律戳不到点，要么过度煽情缺乏理性内核……,0000,
00,065,看着他倾听时专注且柔和的神情，你不自觉地放下了戒备，说了很多困惑,,
00,066,温叙安静地听着，视线像一根无形却柔韧的丝线，始终缠绕在你的脸上，没有离开过半分,0000,
00,067,说着说着，你忍不住抛出了心底的疑问，语气带着好奇，也藏着探究：,,
01,068,“叙闻老师，您作为一名男性，是如何写出如此有感染力的文字？又为什么能写出这么多为女性发声的内容？”,0000,
00,069,他阖眸，指尖轻轻摩挲着悬挂着水珠的杯壁，沉默片刻，才缓缓开口，声音比刚才更柔了些，带着点不易察觉的苦涩与自嘲：,0000,
06,070,“其实没什么特别的，只是我从小见得比旁人多些。”,0000,
06,071,“我父亲在我很小的时候就去世了，我的母亲一个人拉扯我长大，孤儿寡母的，难免会受委屈”,0000,
06,072,“那些年里，我也见过不少和我母亲情况类似的女性，大家彼此照应互相取暖，让我感受到了女性间互帮互助的善意。”,0000,
06,073,“包括后来上了高中……”,0000,
06,074,“因为我是单亲家庭，加上外形和性格不像其他同龄的男生那样张扬，不够合群，所以也免不了被排挤甚至霸凌。”,0000,
00,075,说到这里，他摩挲杯壁的手指微微收紧、泛白，仿佛回想起了当时窒息的苦痛,,
00,076,但他看向你的眼神，却依旧温和得如同一泓秋水：,,
06,077,“不过都过去了，那时候碰巧遇到一个女生，又去找主任，又说要报警，硬生生把那些人唬住，不敢再为难我”,0000,
06,078,“只可惜她走得太着急，我连她的名字都没来得及问”,0000,
00,079,他的视线重新落回你的脸上，眼里的满是专注和认真,,
06,080,“或许是见过太多女性的隐忍和不易，也或许是那时被人帮过的瞬间，让我总想着把那些没说出口的情绪，用文字写出来。”,0000,
00,081,你静静听着，心里忽得泛起一阵复杂的酸涩与震撼，原来他笔下的温柔与通透，背后竟藏着这样令人心碎的过往,,
00,082,原本盘旋在心头的警惕与试探，悄悄淡了几分，取而代之的是对他深切的理解和同情,,
00,083,【抉择选项】借着还书，转移话题,,
00,084,你感到气氛有些过于沉重，且那股莫名的熟悉感让你有些慌乱，你决定用工作拉开一点距离,,
01,085,“感谢您的配合，与您的探讨令我受益匪浅”,0000,
01,086,“上次您给我的试读本也给了我很多选题灵感，非常感谢，祝您新书大卖。”,0000,
00,087,你把书递了过去，他却没有伸手接过，只是朝你缓慢地眨了眨眼：,,
06,088,“它不是新书，也不会公开”,0000,
06,089,“学妹，是我该谢谢那时候的你。”,0000,
00,090,迎上你因惊愕而睁大的双眼，他极其温柔地笑了笑，伸手将那本书轻轻推回你的怀里,,
06,091,“这是我的第一部作品，赠予你，以示一点微不足道的谢意。”,0000,
00,092,直到最后分道扬镳，你还有些发懵，起初你怀疑他认错了人,,
00,093,但后面，你逐渐回想起了高中时期那个你顺手救下的、阴郁清瘦的学长,,
00,094,可是……这到底是好人有好报的奇妙缘分，还是某种更深沉的执念？,,
00,095,【抉择选项】理性回应，礼貌分别,,
00,096,你努力维持着职业素养，压抑住心底对那段故事莫名的代入感，给出了一段挑不出错的客观评价,,
01,097,“非常感谢您的配合，与您的探讨令我受益匪浅，专访的初稿我会尽快发给您过目。”,0000,
01,098,“另外，上次您给我的试读本也给了我很多选题灵感，现在物归原主，祝您新书大卖。”,0000,
00,099,你把书递了过去，他却没有伸手接过。他静静地看了你一会儿，像是在包容你的故作镇定，随后缓慢地眨了眨眼：,0000,
06,100,“它不是新书，以后也不会公开出版”,0000,
06,101,“学妹，是我该谢谢那时候的你。”,0000,
00,102,你强装的镇定瞬间被这声“学妹”击碎,,
00,103,迎上你略显惊愕的双眼，他笑着把书往你怀里推了推，动作轻柔却不容拒绝,,
06,104,“这是我的第一部作品，赠予你，以示一点微不足道的谢意。”,0000,
00,105,直到最后分道扬镳，你还有些发懵,,
00,106,起初你怀疑他认错了人，但顺着他的提示，高中时期那场因一时义愤而冲上去帮忙的旧事逐渐浮现,,
00,107,你想用“好人有好报”或是“缘分”来解释这场不可思议的重逢,,
00,108,但作为媒体人的直觉却在警告你：他的靠近，真的只是一场简单的道谢吗？,,
00,109,上周的那篇专访一经推出，毫无悬念地引爆了全网。后台数据一路狂飙，红色的增长曲线像坐上了火箭,,
00,110,不仅成功拿下了平台当日的现象级爆款，更让你在圈内声名鹊起，连着好几个头部大号的主编都跑来加你微信套近乎,,
00,111,此刻的你，正穿着宽松柔软的纯棉家居服，窝在卧室的旋转椅上,,
00,112,屏幕莹白的光打在你脸上，你一边端着热牛奶享受着爆款带来的惬意，一边在备忘录里飞快地敲击，复盘着下周的宣发计划,,
00,113,就在这时，急促的门铃声突然响起，在安静的走廊里显得格外突兀，打断了你的思路,,
00,114,你趿拉着拖鞋走过去，开门的瞬间，一个穿着制服的外卖小哥将一个印着烫金logo的精美蛋糕盒子递到你面前,,
08,115,“女士，您的外卖。”,0000,
00,116,手机几乎同时震动了一下，你看了一眼手机，是温叙发来的消息，附着一份名为《伤痕化铠》的电子文档,,
06,117,“学妹现在可是大红人，叙闻冒昧求带飞。这次新书宣传，还请你多多借光。”,,
00,118,你拎过蛋糕，向外卖小哥道了谢，随手拍照给他发了过去,,
01,119,“是有点冒昧，你怎么会知道我家地址？”,0000,
00,120,你略显生气地发去质问，屏幕上“对方正在输入”反复跳动，却迟迟没有一句解释,,
00,121,足足过了两分钟，温叙的回复才终于跳了出来，隔着屏幕你都能感觉到那一丝手足无措的慌乱,,
06,122,“抱歉，可这不是我送的。”,,
00,123,你一愣，还没来得及细想，闺蜜许映月的消息便炸了进来,,
02,124,“宝宝，蛋糕收到了吗？这我前几天探店吃到的蛋糕，巨好吃！！！正好今天发项目奖金，给你点一个尝尝~”,,
00,125,看清闺蜜消息的那一刻，你瞬间红温，原来是你误会了，不分青红皂白就跑去质问人家,,
00,126,你连忙点开和温叙的聊天框，指尖飞快地打字，语气里满是歉意,,
01,127,“对不起对不起温老师，蛋糕是我闺蜜送的，您的消息来得太巧，误会了您真的太抱歉了！”,0000,
00,128,为了缓解尴尬，赶紧将话题转移，你点开了那份名为《伤痕化铠》的电子文档,,
00,129,文档的第一页写着一行题记：“献给那些在黑暗中，依然愿意向别人伸出手的微光。”,,
00,130,你原本只是想大致扫几页应付一下，却被细腻且压抑的笔触吸引。里面对心理创伤的描写太过真实，真实到让你觉得有些喘不过气,,
01,131,“刚看了您写的前三章，立意特别好，完全贴合我之前做的选题，特别有力量。”,0000,
01,132,“之前说的宣传的事，我肯定帮忙，你的文字值得被更多人看到。”,,
01,133,“我一定尽我所能帮你把新书推出去，就当是给我刚才的鲁莽赔罪啦！”,0000,
00,134,消息发出去没一会儿，温叙就回复了。他的文字依旧温润，没有半分被冤枉的不悦，反而带着一种如释重负的纵容,,
06,135,“没事没事。女生警惕心高一点是好事，换作任何人遇到这种巧合都会多想，不用放在心上。”,0000,
00,136,他顿了顿，像是看穿了屏幕这边你还没完全散去的窘迫，极其自然地顺着蛋糕的话题往下递了个台阶,,
06,137,“不过，这家店的蛋糕确实很不错，我正好有他们家的会员，等新书宣发结束，我请你吃蛋糕。”,0000,
00,138,看着屏幕上的回复，你长舒了一口气，小心翼翼地拆开包装盒，挖了一勺蛋糕放进嘴里,,
00,139,咸甜交织的绵密口感在舌尖化开，你放下勺子，打算顺势回应温叙的心意,,
00,140,【抉择选项】俏皮接话，拉近距离,,
01,141,“哇，这家蛋糕真的好好吃！那我可就提前谢谢温老师啦~”,0000,
01,142,“宣发的事你放心，我已经在构思初步方案了，一定不辜负您的信任！”,0000,
00,143,温叙的消息回得很快，末尾还附带了一个浅笑着的表情，你几乎能联想到他此刻的神态,,
06,144,“不急，按自己的节奏来就好。”,0000,
00,145,【抉择选项】真诚致谢，稳妥得体,,
01,146,“谢谢温老师的体谅，宣发的事我会尽快整理好细节，到时候发给你一起商量。”,0000,
00,147,温叙的消息回得很快，末尾还附带了一个浅笑着的表情，你几乎能联想到他此刻的神态,,
06,148,“好，辛苦你了。不管有什么需求，随时跟我说。”,,
00,149,周六下午，你拉着许映月在商场逛街，正当你俩在兴致勃勃地挑选盲盒时，店外面的人群突然发生了一阵骚动,,
08,150,“哎！有人晕倒了！”“这咋整，能扶吗？”“不能吧，这年头讹人的事多，看看得了。”,0000,
00,151,人群迅速围成了一个圈，却纷纷向后退缩。你正想上前帮忙，许映月的反应比你还快，放下手中的盲盒拽着你挤进了人群,,
00,152,一位头发花白、衣着朴素但整洁的老妇人脸色惨白地倒在地上，双眼紧闭,,
00,153,周围的人都在交头接耳、甚至举起手机拍照，却没人敢上前碰她。你和闺蜜对视一眼，默契地上前,,
00,154,她在一旁帮忙挡开那些凑热闹的镜头疏散人群，你则先用自己的包垫在老人的头下，然后快速探了探她的颈动脉和呼吸,,
01,155,“大家都散开点！保持空气流通，别围着拍照了！”,0000,
02,156,“我已经打120了，救护车马上从市中心医院过来。”,0000,
00,157,清脆果断的声音让几个愣神的路人也纷纷收起手机，主动让出了空间,,
00,158,在等待救护车的几分钟里，你小心翼翼地在老人的随身布包里翻找，希望能找到病历或药瓶,,
00,159,没有找到药，却在夹层里找到了一张过塑的紧急联系人卡片，上面只有一串加粗的电话号码,,
00,160,你毫不犹豫地照着号码拨了过去，电话响了一会儿才被接起,,
01,161,“喂？请问是机主家属吗？她在天环商场晕倒了，救护车马上把她送到市中心医院急诊科，您尽快过来一趟！”,0000,
00,162,电话那头先是死一般的寂静，紧接着传来椅子翻倒和重物落地的声响，随后是一道极其耳熟、却透着慌乱与微颤的男声,,
06,163,“我，我马上到！求你先别走，帮我看着她……”,0000,
00,164,那声音支离破碎，带着浓浓的恐惧。你瞬间愣在了原地，握着手机的手微微收紧,,
00,165,温叙？！这是温叙的妈妈？,,
00,166,半小时后，市中心医院急诊室走廊,,
00,167,许映月主动去前台缴费和办手续，你独自坐在长椅上。消毒水的气味充斥着鼻腔，白炽灯的光线冷硬而惨白,,
00,168,一阵急促到近乎踉跄的脚步声在走廊尽头响起，打破了压抑的宁静,,
00,169,温叙只穿着一件单薄的白衬衫，领口微微敞开。发丝凌乱地贴在满是细汗的额头上，眼眶红得吓人，嘴唇因为过度紧张而失去血色,0000,
00,170,他平日里那种从容不迫、温润如水的滤镜瞬间碎裂，此时此刻的他，像一只被剥夺了安全感的困兽，目光焦灼地在走廊里搜寻,,
00,171,你站起身，快步迎了上去,,
01,172,“温叙！这边！医生说阿姨是急性突发低血压导致的晕厥，已经脱离危险了，你别太着急。”,0000,
00,173,听到“脱离危险”四个字，温叙紧绷到极限的肩膀猛地垮了下来,,
00,174,他脱力般地扶着墙壁，胸口剧烈起伏，仿佛要把积压在肺里的恐惧全都吐出来,0000,
00,175,突然，他猛地直起身，上前一步，紧紧握住你的手,,
00,176,他的手冰凉刺骨，还在不受控制地微微发抖,,
06,177,“谢谢……真的谢谢你。如果不是你，我可能……我不知道该怎么办……”,0000,
00,178,他的声音哑得不成样，带着劫后余生的庆幸和难以言喻的后怕,,
00,179,在那一瞬间，由于距离极近，你突然察觉到他的眼神里，除了对恩人的感激，似乎还翻涌着某种更深沉、甚至带着一点偏执的情绪,,
00,180,——就像是，一个在无边黑暗中独自行走了很久的人，终于再次抓住了他生命中唯一的锚,,
00,181,【抉择选项】冷静地抽回手，递给他纸巾,,
00,182,手上传来的痛感让你迅速找回了理智。你轻轻挣开了他，从包里翻出一包纸巾递过去，语气保持着客观和镇定,,
01,183,“举手之劳而已，刚好被我和我朋友碰上。你先擦擦汗，阿姨还需要你照顾，你得先撑住自己。”,0000,
00,184,手心里的温度抽离，温叙眼底的光似乎也跟着黯淡了一瞬，闪过一丝不可名状的落寞。他接过纸巾，默默捏紧在掌心,0000,
06,185,“好……你说的对，我必须得撑住。”,0000,
00,186,你站在原地，看着他跟护士交涉后匆匆走进病房的背影，那种萦绕在心头多日的违和感如同藤蔓般疯狂滋长，将你紧紧缠绕,,
00,187,【抉择选项】反握住他的手，轻声安抚,,
00,188,你看着他脆弱的样子，心里没来由地一软。你没有挣脱，反而用另一只手覆上了他的手背，试图传递一点你的温度给他,,
01,189,“没事了，阿姨现在很安全。你先平复一下呼吸，别自己也倒下了，阿姨等会儿醒了还需要你。”,0000,
00,190,感受到你掌心的温度，温叙如同触电般微微一窒。他缓缓松开手，目光在你脸上停留了很久，那眼神里糅杂着太多你看不懂的东西,,
00,191,最终他垂下眼帘，低声道,,
06,192,“是我失态了。”,0000,
00,193,你站在原地，看着他跟护士交涉后匆匆走进病房的背影，那种萦绕在心头多日的违和感如同藤蔓般疯狂滋长，将你紧紧缠绕,,
00,194,医院事件过去后的两周，温叙母亲的身体状况已经彻底稳定下来,,
00,195,傍晚，你刚完成新选题的内容整理，正准备再问问情况，手机屏幕亮了，是温叙发来的消息,,
06,196,“我的母亲今天出院，她一直念叨着想要当面谢谢你。不过我拦住了她，不想给你添麻烦。”,0000,
06,197,“但是，有一份属于我的谢意，我希望能亲自交给你。听说今晚八点有月全食，方便一起去南湖公园吗？”,0000,
00,198,你的手指停在键盘上方，迟迟不肯落下,,
00,199,这些天，关于巧合的疑云一直盘旋在你的脑海，那个隐秘的猜测让你感到一丝战栗，却又克制不住地想要去探寻真相,,
00,200,【抉择选项】委婉拒绝，保持距离,,
00,201,接二连三的巧合让你本能地感到一丝危险，你决定拉开距离，让沸腾的思绪冷静一下,,
01,202,“温老师客气了，阿姨没事就好。今晚我还有个稿子要赶，就不去凑热闹啦，祝您赏月愉快。”,0000,
00,203,两分钟后，温叙的消息再次跳了出来。,,
06,204,“没关系，工作要紧。”,0000,
06,205,“只是我今天带了《棱镜回响》的手写初稿，原本想送给它的‘灵感缪斯’。如果你改变主意，我会在湖边的长椅等你。”,0000,
00,206,看着“灵感缪斯”四个字，哪怕再迟钝，你也彻底听懂了他话语里潜藏的越界与深意,,
00,207,这一切果然不是命运的眷顾，而是他蓄谋已久的靠近,,
00,208,你将目光从手机屏幕上移开，看向窗外逐渐沉下来的夜色,,
00,209,对于这段深不见底的情感博弈，理智最终战胜了好奇心,,
00,210,你长长地叹了口气，强压下心底因为被长久注视而泛起的那一丝复杂悸动，一字一句地敲下回复：,,
01,211,“温老师，您的心意我心领了。您是非常优秀的作者，我相信我们以后也会是很好的朋友和合作对象。”,0000,
00,212,发完这条消息，你锁上手机屏幕，将那份隐秘的牵绊彻底斩断,,
00,213,【抉择选项】欣然赴约，探寻真相,,
00,214,你是个从不畏惧直面谜团的人，如果这一切真的是一张网，你也想亲眼看清织网人的模样,,
01,215,“好，一会见。”,0000,
00,216,夜晚的南湖公园格外静谧，树影婆娑间，微凉的夜风带来一阵带着水汽的草木香,,
00,217,你沿着南湖的栈道走了几分钟，一眼就看到了长椅上的温叙,,
00,218,他今天穿了一件深色风衣，没有看天上的月亮，而是低着头，修长的手指轻轻抚摸着膝盖上的一本厚重的黑色皮质笔记本,,
00,219,昏暗的月光勾勒出他清隽的侧脸，在那份惯常的温柔之外，平添了几分让人心悸的深沉与孤独。,,
00,220,听到你的脚步声，他抬起头，桃花眼里瞬间盛满了细碎的光芒,,
00,221,温叙站起身，慢慢走到你面前。他深深地看着你，眼底涌动着某种压抑了极久的情绪,,
06,222,“九年。从高中毕业那天起，我就在这个城市里找你。”,0000,
06,223,“兴许是差些缘分，等我打听到你的时候，你已经在外地读书了。还好……你又回到了这里。”,0000,
00,224,他将手里那本黑色的皮质笔记本递到你面前,,
00,225,你迟疑着接过，翻开略显泛黄的纸张，里面密密麻麻全是手写的字迹，有些地方还带着涂改的墨迹,,
06,226,“这是《棱镜回响》的第一版手稿，是除了上次赠予你的作品以外第一篇正式发行的作品”,0000,
06,227,“因为我想，如果我能成为足够有名的作者，或许有一天，你能看到我写的书，能看到我对你迟到的感谢。”,0000,
00,228,看着手里的原稿，脑海中所有的线索在这一刻轰然闭合。你张了张嘴，却发现喉咙干涩得发不出声音,,
00,229,这时，夜空中的满月开始渐渐被阴影吞噬，呈现出一种暗红的色泽,,
00,230,在暗下来的光线里，温叙从口袋里拿出了一支钢笔，递到了你的面前,,
06,231,“作为作者，我给无数读者签过名。但是今天，这本《棱镜回响》的手稿……”,0000,
00,232,他的声音因为紧张而带着一丝不易察觉的轻颤，目光却炽热得仿佛要将你融化,,
06,233,“我想请故事的主角，在我心里的扉页上，签下她的名字。”,0000,
00,234,你看着他递过来的钢笔，指尖因为内心巨大的震撼而微微发麻。这不仅仅是一个签名，更是他长达九年隐秘而固执暗恋的终点,,
00,235,你低头看向手稿的扉页，那里本来是一片空白,,
00,236,你深吸一口气，接过钢笔，在上面郑重地写下了你的名字,,
00,237,落笔的瞬间，温叙突然上前一步。他没有触碰你，只是微微低头，温热的呼吸轻轻拂过你的耳畔。,0000,
06,238,“书评里曾说，‘叙闻’擅长写宿命的重逢。但他们不知道，为了这场重逢，我用了多少日夜精打细算、步步为营”,0000,
06,239,“你拯救了我的过去，而现在，我想用我的余生，做你永远的退路和底牌。”,0000,
00,240,赤月当空，公园的湖面被染上了一层幽深的色彩,,
00,241,他温柔的告白在夜风中缱绻回荡，但那句“步步为营”却让你在心跳加速的同时，隐隐感受到了一丝深不可测的占有,,
00,242,这个男人，远比他表现出来的温柔解语花，要危险得多。而你，似乎已经心甘情愿地，落入了他的网中,,
